,SHOT_DIST,SHOT_RESULT
14759,0.6405463383211486,0
14227,1.029440703940428,1
14294,-1.0554652006295977,0
14180,0.15442838129704933,1
14656,-1.1634914133016196,0
14795,0.5757306107179356,1
14097,-1.239109762172035,1
14872,-1.239109762172035,0
14951,-1.1742940345688218,0
14677,0.024796926090622954,0
14618,-1.6388067490585165,1
14137,0.7701777935275754,0
14273,0.5541253681835313,0
14100,-1.293122868508046,1
14825,0.6945594446571597,0
14651,0.9862302188716195,0
14538,2.7038470003567703,0
14209,-0.612557728674307,0
14609,-1.2175045196376306,1
14676,0.8457961423979907,0
14258,1.0834538102764393,0
14643,0.8025856573291817,1
14497,0.06800741115943201,0
14978,-1.6388067490585165,0
14293,0.705362065924362,0
14114,-0.3640974395286564,1
14834,0.7377699297259687,0
14999,-1.6172015065241123,1
14410,0.7701777935275754,0
14883,-0.28847909065824084,0
14480,-0.9042285028887668,0
14064,0.6729542021227553,1
14824,0.37048080664109345,1
14301,-1.0986756856984063,1
14369,0.0031916835562186175,0
14992,-0.6017551074071049,1
14119,0.7917830360619798,1
15014,0.8565987636651927,1
14715,0.37048080664109345,1
14566,-1.5199779151192925,1
14948,-1.0878730644312042,1
14380,0.7485725509931707,0
14179,0.5649279894507332,0
14450,-1.6388067490585165,1
14231,0.6081384745195423,0
14315,1.1590721591468545,0
14626,-1.498372672584888,0
14617,0.8890066274667994,0
14812,0.7917830360619798,1
14164,-1.5739910214553035,1
14889,-1.7252277191961343,1
14319,0.1976388663658584,0
14934,-0.08322928658139911,0
14680,-0.3749000607958586,1
14332,0.6081384745195423,0
14466,0.7269673084587663,1
14693,-1.70362247666173,0
14964,0.14362576002984737,1
14595,1.277900993086079,0
14920,0.7809804147947773,1
14291,-1.6820172341273254,0
14647,0.9106118700012038,1
14954,-1.5631884001881013,1
14420,0.7917830360619798,1
14735,-1.60639888525691,1
14239,0.5649279894507332,0
14545,-1.4227543237144724,1
14197,-1.2607150047064395,1
14562,-1.228307140904833,1
14444,0.5217175043819245,1
14723,0.705362065924362,1
14296,-0.23446598432222984,1
14547,0.7917830360619798,0
14335,-1.6820172341273254,0
14939,0.40288867044270016,0
14598,0.9430197338028105,0
14572,0.16523100256425172,1
14146,0.6513489595883509,1
14910,1.3859272057581011,0
14888,0.7917830360619798,0
14576,0.9862302188716195,0
14374,1.5911770098349431,0
14991,0.16523100256425172,1
14926,-0.6665708350103181,1
14376,-1.8008460680665497,0
14668,0.7485725509931707,0
14571,0.12202051749544303,1
14310,-1.5091752938520901,0
14819,0.7809804147947773,0
14879,0.15442838129704933,0
14388,1.7532163288429763,0
14713,0.6189410957867443,0
14118,-1.8008460680665497,1
14653,-1.1418861707672152,0
14060,-0.87182063908716,0
14205,1.169874780414057,1
14362,0.7701777935275754,1
14195,0.59733585325234,0
14621,0.8133882785963841,0
14771,0.7485725509931707,1
14914,0.4785070193131155,0
14163,0.9754275976044171,1
14905,0.7377699297259687,0
14427,-0.1804528779862188,1
15016,0.8025856573291817,0
14604,0.7161646871915643,1
14927,0.7809804147947773,0
14672,0.9646249763372148,0
14929,0.8133882785963841,0
14145,0.8241908998635864,0
14327,0.1976388663658584,0
14876,-0.12643977165020778,0
14557,0.7809804147947773,0
14827,0.7701777935275754,1
14531,0.7809804147947773,1
14727,0.8782040061995975,0
14504,0.9214144912684061,0
14554,0.6081384745195423,1
14167,0.8457961423979907,0
14748,-1.023057336827991,0
14391,0.7161646871915643,1
14820,0.8241908998635864,1
14278,1.0942564315436416,0
14229,-1.5307805363864946,0
14917,-1.0878730644312042,0
14774,0.9538223550700128,0
14204,-1.2175045196376306,1
14487,0.7701777935275754,0
14379,1.126664295345248,1
14149,-0.9906494730263843,0
14251,-1.6388067490585165,0
14288,0.9862302188716195,0
14847,0.6837568233899577,0
14471,0.9862302188716195,1
14633,-1.6280041277913144,0
14350,0.7917830360619798,0
14126,0.5433227469163289,0
14233,-1.876464416936965,1
14857,-0.8394127752855535,0
14171,-1.4335569449816747,0
14707,-0.35329481826145426,1
14737,0.7701777935275754,0
14871,0.7485725509931707,0
14208,0.867401384932395,1
14844,0.46770439804591357,0
14441,-0.1156371503830058,0
14909,-0.05082142277979241,0
14733,-0.9474389879575755,0
14605,-1.7252277191961343,1
14675,-1.239109762172035,1
14329,1.493953418430123,0
14863,0.867401384932395,0
14419,0.8565987636651927,0
14200,0.8241908998635864,0
14869,0.34887556410668913,1
14153,-1.4011490811800682,1
14781,0.7269673084587663,0
14143,0.7701777935275754,1
14783,-0.7421891838807336,0
14316,0.8457961423979907,1
14356,-1.4011490811800682,1
14189,-1.5631884001881013,1
14797,-0.07242666531419675,1
14443,-1.1634914133016196,1
14338,0.867401384932395,0
14915,0.6297437170539466,1
14318,-1.1418861707672152,0
14898,0.59733585325234,0
14960,0.5757306107179356,0
14814,0.6189410957867443,1
14109,-1.5847936427225056,1
14348,0.024796926090622954,1
14188,0.8890066274667994,1
14856,0.6837568233899577,1
